dw_date,2020,2021,2022,2023,2024,2025,20-yr avg.
01/01/2050,80.1,54.1,104.0,61.8,65.8,65.4,285.58000000000004
01/02/2050,80.1,54.1,105.0,61.5,66.5,65.5,295.90500000000003
01/03/2050,80.1,57.6,105.0,61.6,60.7,62.8,305.365
01/04/2050,80.3,68.7,105.0,61.5,58.1,52.2,307.35
01/05/2050,80.3,75.7,105.0,61.3,55.7,51.6,281.025
01/06/2050,80.5,75.9,105.0,61.6,55.7,50.2,252.64500000000004
01/07/2050,81.1,71.2,105.0,61.4,55.6,51.0,246.715
01/08/2050,81.7,63.1,105.0,61.6,57.0,50.8,250.14500000000004
01/09/2050,81.5,59.3,105.0,61.7,56.0,52.2,249.685
01/10/2050,72.7,58.5,105.0,61.6,56.4,51.3,233.465
01/11/2050,82.6,56.9,106.0,61.9,57.2,51.2,222.07
01/12/2050,82.6,57.5,107.0,61.9,54.1,51.5,216.76500000000001
01/13/2050,81.5,58.6,105.0,62.0,55.5,51.6,229.90499999999997
01/14/2050,81.5,58.6,106.0,62.2,54.8,51.3,218.67999999999998
01/15/2050,81.6,59.0,104.0,62.4,54.3,51.8,231.325
01/16/2050,81.7,58.6,104.0,62.3,54.5,52.3,236.08
01/17/2050,81.7,58.8,104.0,62.6,54.9,57.4,241.14000000000001
01/18/2050,81.6,59.3,104.0,62.6,55.2,56.7,239.78500000000003
01/19/2050,82.0,58.4,104.0,59.9,52.7,56.2,221.81
01/20/2050,82.2,42.7,105.0,64.2,54.1,57.0,209.71999999999997
01/21/2050,85.9,56.7,106.0,58.3,54.7,57.2,210.28500000000003
01/22/2050,89.3,57.2,105.0,58.1,76.2,57.2,237.83
01/23/2050,94.2,57.8,105.0,58.0,57.5,57.4,264.675
01/24/2050,90.1,57.8,105.0,57.5,60.6,57.5,265.835
01/25/2050,85.3,63.1,82.5,53.3,61.3,57.6,272.27
01/26/2050,85.0,69.1,105.0,62.2,58.8,58.0,272.255
01/27/2050,84.7,65.4,96.8,62.4,58.2,57.5,274.425
01/28/2050,85.2,62.9,84.9,62.5,58.2,57.7,284.7
01/29/2050,90.0,60.6,79.4,62.3,57.2,58.3,301.505
01/30/2050,91.0,60.4,78.9,63.0,55.4,59.0,289.38500000000005
01/31/2050,90.4,59.5,80.1,62.9,55.2,58.0,282.46
02/01/2050,93.0,57.1,83.3,64.3,55.4,58.1,278.60499999999996
02/02/2050,92.7,54.5,90.7,63.0,52.2,58.2,277.525
02/03/2050,92.8,52.5,107.0,62.5,33.5,58.9,282.2
02/04/2050,92.8,51.1,97.7,62.7,33.8,56.7,275.64
02/05/2050,93.0,53.4,92.3,62.8,35.4,56.1,262.225
02/06/2050,93.1,52.5,88.9,62.8,36.7,56.3,258.915
02/07/2050,93.1,53.8,91.5,63.1,36.6,56.2,255.77000000000004
02/08/2050,93.0,53.6,89.6,63.5,36.8,56.4,246.46000000000004
02/09/2050,92.9,53.2,88.3,63.3,36.6,56.1,245.675
02/10/2050,93.0,53.8,88.1,62.8,40.0,55.9,231.85999999999999
02/11/2050,92.9,54.9,85.3,63.1,37.4,59.1,221.19
02/12/2050,94.4,53.3,82.8,63.1,46.8,55.7,220.08999999999997
02/13/2050,92.4,52.6,80.2,63.0,53.5,55.0,222.6
02/14/2050,93.0,53.5,80.4,63.2,70.2,54.9,324.585
02/15/2050,92.9,54.8,78.4,63.2,81.3,55.4,476.06499999999994
02/16/2050,93.0,54.5,78.1,63.2,67.2,56.4,478.2099999999999
02/17/2050,92.6,67.6,76.8,63.1,58.4,57.6,470.98
02/18/2050,92.6,72.5,76.4,63.2,50.8,57.1,367.86
02/19/2050,92.7,72.0,76.4,62.8,47.3,56.1,261.665
02/20/2050,91.8,75.5,75.1,63.1,44.8,56.0,254.73499999999999
02/21/2050,91.4,77.2,68.3,63.1,44.8,56.1,253.94
02/22/2050,91.4,80.2,68.3,63.4,42.4,56.1,266.32500000000005
02/23/2050,91.2,80.6,68.5,63.3,41.8,56.7,290.595
02/24/2050,91.2,80.4,68.2,63.7,41.6,,283.865
02/25/2050,98.3,80.6,68.2,63.6,42.2,,258.30499999999995
02/26/2050,104.0,75.1,68.1,63.6,42.0,,254.875
02/27/2050,101.0,72.8,67.8,63.2,41.8,,282.36
02/28/2050,95.5,77.4,67.8,63.4,41.6,,301.025
02/29/2050,95.4,,,,41.2,,151.14000000000001
03/01/2050,95.6,77.6,67.7,63.3,41.7,,297.935
03/02/2050,95.7,77.9,67.9,64.3,41.7,,284.92
03/03/2050,95.8,78.2,67.3,63.2,42.0,,384.995
03/04/2050,95.5,78.0,67.5,63.3,42.0,,565.72
03/05/2050,95.1,77.1,67.8,62.9,41.8,,578.5550000000001
03/06/2050,95.7,75.2,70.3,63.0,41.7,,567.855
03/07/2050,96.0,69.7,72.3,63.2,41.9,,575.625
03/08/2050,96.1,65.3,72.7,63.1,41.5,,581.8399999999999
03/09/2050,96.2,65.7,73.2,63.2,40.6,,568.54
03/10/2050,95.9,65.2,72.9,63.4,40.9,,441.5
03/11/2050,96.0,63.8,72.7,63.5,40.8,,275.59000000000003
03/12/2050,96.2,63.9,72.9,63.9,40.7,,306.36499999999995
03/13/2050,96.1,64.1,73.0,64.8,40.9,,305.94
03/14/2050,96.1,63.9,68.2,65.0,40.7,,320.375
03/15/2050,95.8,63.9,65.7,65.4,40.5,,329.25
03/16/2050,95.9,64.0,68.7,55.9,40.7,,328.435
03/17/2050,97.1,63.7,70.7,58.8,42.8,,338.365
03/18/2050,97.3,63.6,70.5,52.2,40.4,,345.6
03/19/2050,98.7,63.8,70.6,51.9,40.3,,344.075
03/20/2050,100.0,63.9,68.4,52.3,40.1,,341.235
03/21/2050,100.0,63.9,67.6,52.5,41.5,,332.46999999999997
03/22/2050,97.6,64.0,67.0,51.2,41.1,,329.13
03/23/2050,95.1,65.7,62.1,51.2,41.2,,328.21999999999997
03/24/2050,94.7,61.8,59.7,51.9,40.9,,319.34499999999997
03/25/2050,94.6,60.5,60.1,52.8,41.1,,290.06
03/26/2050,94.9,60.5,60.0,53.4,40.7,,276.70500000000004
03/27/2050,94.7,73.9,59.9,53.5,40.5,,288.465
03/28/2050,95.0,82.7,60.1,54.1,40.5,,258.135
03/29/2050,94.8,82.9,60.3,55.1,40.6,,211.04000000000002
03/30/2050,95.0,86.4,60.1,55.6,40.6,,238.675
03/31/2050,94.9,77.0,59.9,55.2,40.6,,243.18999999999997
04/01/2050,95.2,71.0,56.0,55.6,54.3,,302.215
04/02/2050,96.0,67.1,51.5,56.3,61.9,,348.52000000000004
04/03/2050,99.4,64.7,51.8,56.0,64.5,,330.435
04/04/2050,98.3,61.5,51.8,54.2,63.3,,276.94999999999993
04/05/2050,96.3,58.6,51.5,51.6,62.8,,341.56000000000006
04/06/2050,95.8,56.8,51.6,54.4,63.0,,340.065
04/07/2050,95.8,52.9,51.8,54.0,62.7,,295.13
04/08/2050,95.7,53.4,52.0,50.8,62.7,,273.1
04/09/2050,95.8,53.4,52.1,51.6,62.9,,488.48
04/10/2050,95.8,53.1,52.3,50.4,62.8,,687.0799999999999
04/11/2050,95.9,53.4,52.4,54.2,62.3,,686.08
04/12/2050,95.9,53.4,52.1,61.2,62.5,,686.195
04/13/2050,95.8,53.2,52.1,61.0,62.7,,678.9300000000001
04/14/2050,95.8,53.2,52.1,60.3,62.7,,674.095
04/15/2050,95.9,53.5,52.3,56.9,62.4,,672.4099999999999
04/16/2050,95.9,53.5,52.1,57.8,62.5,,490.125
04/17/2050,95.8,53.4,51.9,58.6,62.4,,361.83
04/18/2050,95.9,53.4,51.8,58.9,62.7,,365.825
04/19/2050,95.8,53.4,52.6,58.9,62.6,,306.15500000000003
04/20/2050,95.8,53.4,52.2,74.8,63.3,,275.18500000000006
04/21/2050,95.8,53.5,52.1,66.5,56.2,,324.40999999999997
04/22/2050,95.8,53.6,52.0,56.4,55.4,,444.675
04/23/2050,95.8,54.1,52.3,55.7,55.7,,365.37
04/24/2050,96.0,53.3,52.2,55.7,56.1,,310.36
04/25/2050,95.8,53.5,54.4,55.7,56.1,,313.1
04/26/2050,95.7,53.5,52.7,55.9,56.1,,438.005
04/27/2050,95.7,53.4,52.6,56.5,56.2,,511.125
04/28/2050,95.8,53.9,52.2,57.2,57.2,,471.63500000000005
04/29/2050,98.5,55.4,52.2,56.0,56.1,,369.75
04/30/2050,97.4,61.7,52.2,56.2,56.1,,334.72999999999996
05/01/2050,79.7,65.9,52.4,56.1,58.1,,422.89
05/02/2050,78.5,82.7,52.4,60.1,56.1,,437.96000000000004
05/03/2050,78.3,108.0,52.3,67.0,56.0,,429.475
05/04/2050,78.4,99.5,52.6,69.3,56.0,,434.255
05/05/2050,79.6,99.1,52.8,69.4,56.1,,477.65
05/06/2050,84.7,97.2,52.3,69.7,56.0,,446.19000000000005
05/07/2050,84.1,97.3,52.2,69.5,55.8,,390.22999999999996
05/08/2050,81.8,96.8,52.2,69.1,61.8,,338.84499999999997
05/09/2050,74.6,96.9,52.6,69.5,64.2,,310.675
05/10/2050,75.8,96.9,53.0,70.5,64.0,,266.09000000000003
05/11/2050,69.7,97.2,53.1,70.6,63.3,,269.6
05/12/2050,252.0,96.9,53.2,71.1,63.2,,272.455
05/13/2050,81.4,96.9,53.1,78.3,63.2,,285.975
