dw_date,2020,2021,2022,2023,2024,2025,20-yr avg.
01/01/2050,81.2,52.1,89.3,22.2,20.9,21.2,238.49500000000003
01/02/2050,79.1,62.7,84.9,22.9,22.0,21.2,233.935
01/03/2050,79.2,81.6,80.3,22.8,25.5,22.0,245.325
01/04/2050,79.3,83.9,81.6,22.0,23.0,23.6,248.26999999999998
01/05/2050,80.2,77.1,79.2,23.7,22.4,23.8,245.51999999999998
01/06/2050,81.9,71.0,76.6,24.3,31.2,21.7,241.66499999999996
01/07/2050,81.6,64.1,75.4,24.0,30.2,19.8,235.58500000000004
01/08/2050,80.9,59.2,78.5,23.0,30.7,19.2,230.88000000000002
01/09/2050,80.6,58.8,77.8,21.5,28.3,23.4,230.53500000000003
01/10/2050,80.3,64.2,74.2,21.1,24.7,31.5,245.85999999999999
01/11/2050,88.5,64.1,73.8,21.4,23.7,27.1,267.19000000000005
01/12/2050,91.8,61.2,76.0,21.6,25.1,41.7,251.76500000000001
01/13/2050,90.2,62.4,76.1,21.3,24.2,54.7,255.88999999999996
01/14/2050,85.0,64.1,74.9,22.2,23.0,43.3,253.925
01/15/2050,81.9,64.2,73.5,23.5,26.7,40.2,248.16500000000005
01/16/2050,83.1,62.5,70.5,26.6,26.8,37.3,304.7
01/17/2050,99.5,61.5,71.4,25.4,22.5,33.4,293.1
01/18/2050,238.0,59.5,73.6,23.8,21.7,32.1,284.49
01/19/2050,207.0,58.5,66.9,22.3,22.1,30.1,266.73
01/20/2050,171.0,60.6,64.2,21.0,20.7,28.6,251.785
01/21/2050,143.0,60.8,62.6,20.0,19.9,30.1,242.56
01/22/2050,134.0,62.0,65.9,18.6,44.4,30.0,245.78000000000003
01/23/2050,124.0,69.5,71.0,17.9,33.4,29.5,250.66500000000002
01/24/2050,120.0,72.2,70.9,24.4,59.3,27.9,236.45
01/25/2050,118.0,71.8,72.4,36.7,80.0,28.5,275.065
01/26/2050,113.0,66.9,72.1,29.2,51.8,30.8,230.14000000000001
01/27/2050,108.0,64.0,71.5,26.0,39.4,32.3,233.01000000000005
01/28/2050,110.0,60.8,71.5,33.4,34.1,31.8,251.935
01/29/2050,110.0,57.7,70.2,31.4,32.3,32.8,293.61
01/30/2050,132.0,57.8,71.3,28.6,31.2,38.7,297.5
01/31/2050,124.0,55.1,80.5,26.4,29.8,43.2,274.525
02/01/2050,115.0,53.3,86.5,32.2,27.4,40.0,264.09000000000003
02/02/2050,108.0,54.5,84.0,34.6,26.1,37.2,258.47
02/03/2050,105.0,55.3,96.2,31.6,27.8,36.2,279.86
02/04/2050,105.0,53.0,82.9,28.9,28.2,35.3,358.45000000000005
02/05/2050,100.0,52.3,85.6,28.6,27.2,34.9,356.525
02/06/2050,97.2,52.6,93.2,29.4,26.2,34.1,302.21500000000003
02/07/2050,97.0,51.4,90.3,29.5,26.6,33.1,285.825
02/08/2050,96.5,52.2,86.8,32.4,26.6,31.1,273.245
02/09/2050,97.3,53.4,84.3,32.7,24.1,31.7,264.90999999999997
02/10/2050,97.1,51.8,81.1,30.0,31.0,31.9,255.63500000000005
02/11/2050,96.0,52.8,79.4,35.9,48.6,38.1,252.91500000000002
02/12/2050,125.0,54.5,79.5,38.9,35.9,43.5,255.48000000000002
02/13/2050,171.0,56.6,76.0,35.4,96.0,34.0,251.575
02/14/2050,150.0,70.7,74.3,33.5,64.7,30.4,253.71000000000004
02/15/2050,123.0,76.0,74.4,29.2,49.3,30.1,281.67999999999995
02/16/2050,114.0,73.5,72.3,26.9,40.9,28.8,319.765
02/17/2050,110.0,74.2,71.0,23.0,35.7,27.0,268.185
02/18/2050,109.0,72.4,66.4,21.0,32.4,26.0,259.90500000000003
02/19/2050,108.0,71.9,65.1,21.4,30.6,25.5,261.95
02/20/2050,104.0,75.5,66.6,22.1,29.2,23.8,330.495
02/21/2050,101.0,74.0,65.4,20.6,27.7,22.4,337.10999999999996
02/22/2050,104.0,72.4,67.6,20.7,25.4,22.4,327.685
02/23/2050,101.0,70.7,63.8,19.8,22.8,25.0,297.20500000000004
02/24/2050,99.3,70.3,61.8,17.1,20.2,,298.83000000000004
02/25/2050,95.8,67.1,61.4,16.4,18.9,,294.2
02/26/2050,92.0,64.9,60.2,17.5,18.9,,280.755
02/27/2050,90.4,66.2,60.6,18.3,19.5,,286.84000000000003
02/28/2050,90.7,69.0,60.4,16.2,18.3,,279.25
02/29/2050,86.8,,,,17.0,,159.18
03/01/2050,88.3,68.9,60.9,16.5,17.9,,272.44
03/02/2050,88.2,66.7,61.7,18.9,18.0,,276.20500000000004
03/03/2050,87.4,63.7,61.1,19.4,18.4,,282.185
03/04/2050,113.0,61.9,63.1,17.7,17.8,,283.18999999999994
