dw_date,2020,2021,2022,2023,2024,2025,20-yr avg.
01/01/2050,74.5,35.9,17.5,2.74,0.0,0.0,81.86666666666666
01/02/2050,75.5,33.5,15.7,2.59,0.0,0.0,83.53333333333333
01/03/2050,76.1,32.1,15.4,2.78,0.0,0.0,85.0
01/04/2050,75.9,31.7,15.1,2.38,0.0,0.0,83.26666666666667
01/05/2050,72.7,31.2,16.0,2.29,0.0,0.0,82.60000000000001
01/06/2050,73.3,31.4,14.6,2.17,0.0,0.0,83.03333333333333
01/07/2050,72.8,31.5,14.9,2.1,0.0,0.0,84.60000000000001
01/08/2050,71.6,30.4,15.8,1.96,0.0,0.0,85.73333333333333
01/09/2050,71.6,29.8,15.9,2.09,0.0,0.0,85.63333333333333
01/10/2050,74.0,34.2,15.3,2.16,0.0,0.0,86.73333333333333
01/11/2050,84.9,35.5,15.4,2.23,0.0,0.0,88.53333333333335
01/12/2050,81.4,33.5,15.6,2.21,0.0,0.0,92.0
01/13/2050,74.5,32.0,15.7,2.95,0.0,0.0,90.63333333333333
01/14/2050,74.7,31.3,17.1,2.01,0.0,0.0,87.06666666666666
01/15/2050,74.6,31.0,14.4,1.75,0.0,0.0,85.7
01/16/2050,78.6,30.4,14.3,2.2,0.0,0.0,87.26666666666667
01/17/2050,102.0,30.2,14.1,2.21,0.0,0.0,93.60000000000001
01/18/2050,91.4,29.9,14.6,2.0,0.0,0.0,95.23333333333333
01/19/2050,84.4,28.5,14.6,1.99,0.0,0.0,100.03333333333335
01/20/2050,80.3,30.7,14.1,0.99,0.0,0.0,118.0
01/21/2050,76.8,30.5,14.3,1.4,0.0,0.0,115.8
01/22/2050,80.2,29.9,14.2,1.53,0.0,0.0,115.43333333333334
01/23/2050,81.7,28.4,14.4,0.76,0.0,0.0,120.3
01/24/2050,78.4,28.1,14.8,2.24,0.0,0.0,117.23333333333333
01/25/2050,75.5,28.4,13.5,4.39,0.0,0.0,113.26666666666667
01/26/2050,75.4,27.3,13.7,2.24,0.0,0.0,111.83333333333333
01/27/2050,75.3,27.1,14.6,1.88,0.0,0.0,113.3
01/28/2050,78.8,26.1,13.8,2.13,0.0,0.0,115.89999999999999
01/29/2050,78.1,26.6,14.4,2.2,0.0,0.0,114.89999999999999
01/30/2050,72.4,27.0,14.0,1.75,0.0,0.0,110.39999999999999
