dw_date,2020,2021,2022,2023,2024,20-yr avg.
01/01/2050,16.8,9.22,12.3,6.48,1.75,41.50625
01/02/2050,17.1,9.36,12.0,6.55,2.5,41.66625
01/03/2050,17.3,10.3,12.1,6.5,2.49,43.3125
01/04/2050,17.2,10.6,12.2,6.5,2.53,42.042500000000004
01/05/2050,17.1,10.2,12.1,6.58,2.76,40.91375
01/06/2050,16.9,10.1,12.0,6.75,2.89,40.128750000000004
01/07/2050,16.4,10.0,11.8,6.57,3.08,39.98375
01/08/2050,16.3,9.89,11.9,6.49,3.61,39.25375
01/09/2050,16.7,9.74,11.8,6.5,3.52,46.67125
01/10/2050,17.1,9.82,11.6,6.54,3.78,46.238749999999996
01/11/2050,17.4,9.66,11.6,6.57,4.07,42.665
01/12/2050,17.7,9.62,11.7,6.54,4.2,40.91125
01/13/2050,17.6,9.7,11.7,6.62,4.38,39.11375
01/14/2050,17.4,9.8,11.7,6.72,4.52,37.75375
01/15/2050,17.4,9.84,12.0,6.83,4.59,43.605
01/16/2050,25.7,9.84,12.4,6.98,4.68,52.12375
01/17/2050,31.1,9.84,12.4,7.0,4.86,43.3925
01/18/2050,33.8,9.84,12.6,6.99,5.06,42.05
01/19/2050,28.5,9.87,11.6,6.95,5.12,40.60125
01/20/2050,24.2,10.2,11.0,7.03,5.12,39.57375
01/21/2050,21.4,10.0,11.0,7.06,5.3,39.1375
01/22/2050,21.6,10.2,11.0,7.03,5.49,39.371249999999996
01/23/2050,21.1,10.1,11.0,7.12,5.49,38.58125
01/24/2050,19.9,10.1,11.0,7.55,5.58,38.175000000000004
01/25/2050,19.1,9.97,11.0,7.46,5.66,38.05125
01/26/2050,19.0,9.92,11.0,7.43,5.55,37.5125
01/27/2050,18.5,9.85,11.0,7.48,,38.71
01/28/2050,25.4,9.79,11.0,7.53,,38.224999999999994
01/29/2050,26.2,9.8,10.9,7.56,,37.2675
01/30/2050,24.7,9.77,11.0,7.55,,36.22125
01/31/2050,23.1,9.7,11.3,7.55,,35.9825
02/01/2050,21.6,9.73,11.2,7.59,,35.56875
02/02/2050,20.6,9.72,11.2,7.64,,34.89625
02/03/2050,20.0,9.7,11.7,7.63,,34.45
02/04/2050,19.8,9.67,11.6,7.66,,34.17
02/05/2050,19.1,9.6,12.2,7.68,,33.856249999999996
02/06/2050,18.8,9.57,12.5,7.72,,33.7525
02/07/2050,18.6,9.53,12.5,7.74,,33.089999999999996
02/08/2050,18.0,9.57,12.3,7.82,,32.1275
02/09/2050,18.3,9.59,12.2,7.8,,31.5475
02/10/2050,23.0,9.56,12.1,7.82,,31.62125
02/11/2050,26.1,9.85,11.9,7.87,,31.325
02/12/2050,32.2,9.93,11.8,7.9,,30.85125
02/13/2050,31.7,9.9,11.7,7.95,,30.475
02/14/2050,28.6,10.5,11.6,8.0,,42.066250000000004
02/15/2050,26.0,10.9,11.5,8.04,,49.80499999999999
02/16/2050,24.5,10.9,11.6,8.04,,44.34625
02/17/2050,23.4,11.0,11.4,8.07,,41.66
02/18/2050,22.5,10.9,11.2,8.12,,40.245000000000005
02/19/2050,21.6,10.9,11.1,8.17,,40.3625
02/20/2050,21.9,10.8,11.1,8.21,,48.18000000000001
02/21/2050,22.1,10.8,11.3,8.27,,46.7275
02/22/2050,21.7,10.7,11.2,8.29,,45.540000000000006
02/23/2050,20.8,10.4,11.0,8.29,,47.67124999999999
02/24/2050,20.2,10.2,11.2,8.31,,45.63125
02/25/2050,19.4,9.98,11.2,8.34,,43.08125
02/26/2050,18.3,10.1,11.2,8.39,,41.685
02/27/2050,17.7,10.1,10.8,8.4,,41.18875
02/28/2050,17.2,10.1,10.1,8.44,,40.4325
02/29/2050,16.7,,,,,30.75
03/01/2050,16.7,9.97,10.1,8.5,,39.6325
03/02/2050,16.7,10.1,10.0,8.58,,38.755
03/03/2050,16.9,10.3,10.1,8.53,,37.895
03/04/2050,25.6,10.3,10.0,8.51,,37.965
03/05/2050,31.6,10.2,9.93,8.54,,39.16625
03/06/2050,29.2,10.1,9.93,8.58,,37.65375
03/07/2050,25.6,10.1,9.82,8.67,,36.91625
03/08/2050,23.8,10.0,9.78,8.7,,36.90375
03/09/2050,23.2,9.96,9.81,8.71,,37.48625
03/10/2050,23.0,9.94,9.81,8.67,,37.585
03/11/2050,22.5,9.93,9.88,8.68,,38.53375
03/12/2050,21.7,9.92,9.83,8.67,,40.4775
03/13/2050,21.0,10.0,9.8,8.62,,40.72
03/14/2050,21.2,10.3,9.82,8.64,,39.651250000000005
03/15/2050,21.7,10.0,9.71,8.65,,37.78875
03/16/2050,26.5,10.2,9.68,8.67,,36.62375
03/17/2050,27.1,10.1,9.55,8.56,,36.145
03/18/2050,26.5,9.95,9.43,8.65,,36.55
03/19/2050,25.7,9.91,9.26,8.59,,39.46875
03/20/2050,25.6,9.9,9.21,8.53,,39.15714285714285
03/21/2050,26.1,9.9,9.32,8.58,,68.42
03/22/2050,28.8,9.91,9.29,8.57,,53.467499999999994
03/23/2050,29.2,9.94,9.22,8.56,,47.205
03/24/2050,28.8,9.83,9.16,8.5,,43.997499999999995
03/25/2050,26.8,10.3,9.07,8.44,,42.401250000000005
03/26/2050,25.5,10.3,9.01,8.38,,39.9275
03/27/2050,24.7,11.1,8.97,8.42,,38.60125
03/28/2050,23.4,11.3,8.94,8.38,,38.57375
03/29/2050,21.6,11.4,8.86,8.33,,39.90125
03/30/2050,21.1,11.4,8.84,8.31,,38.90875
03/31/2050,20.3,11.3,8.76,8.25,,36.825
04/01/2050,19.2,11.1,8.73,8.17,,35.765
04/02/2050,19.1,11.0,8.73,8.12,,41.36625
04/03/2050,21.6,11.1,8.69,8.08,,43.815
04/04/2050,28.1,10.9,8.68,8.02,,39.805
04/05/2050,35.3,10.7,8.63,7.96,,36.65125
04/06/2050,36.5,10.7,8.54,7.93,,34.715
04/07/2050,33.9,10.7,8.47,7.92,,34.10875
