dw_date,2020,2021,2022,2023,2024,2025,20-yr avg.
01/01/2050,306.0,448.0,225.0,179.0,174.0,136.0,347.9230769230769
01/02/2050,297.0,329.0,183.0,178.0,169.0,143.0,332.84615384615387
01/03/2050,305.0,257.0,177.0,182.0,197.0,138.0,402.84615384615387
01/04/2050,324.0,247.0,167.0,210.0,396.0,148.0,502.92857142857144
01/05/2050,300.0,245.0,173.0,212.0,252.0,142.0,465.35714285714283
01/06/2050,311.0,240.0,261.0,204.0,206.0,144.0,368.7142857142857
01/07/2050,359.0,241.0,275.0,202.0,187.0,160.0,349.2857142857143
01/08/2050,377.0,236.0,265.0,206.0,176.0,157.0,338.14285714285717
01/09/2050,378.0,233.0,263.0,205.0,182.0,164.0,386.42857142857144
01/10/2050,365.0,235.0,271.0,212.0,179.0,371.0,760.0714285714286
01/11/2050,443.0,764.0,271.0,202.0,174.0,715.0,479.2857142857143
01/12/2050,802.0,561.0,259.0,202.0,169.0,345.0,390.2142857142857
01/13/2050,505.0,286.0,250.0,201.0,188.0,263.0,360.7857142857143
01/14/2050,429.0,232.0,251.0,196.0,181.0,255.0,352.7857142857143
01/15/2050,401.0,214.0,252.0,190.0,186.0,244.0,452.42857142857144
01/16/2050,388.0,208.0,189.0,194.0,205.0,197.0,868.7142857142857
01/17/2050,550.0,198.0,225.0,198.0,216.0,162.0,836.7142857142857
01/18/2050,520.0,198.0,145.0,199.0,203.0,164.0,493.2142857142857
01/19/2050,422.0,200.0,136.0,195.0,183.0,167.0,456.35714285714283
01/20/2050,400.0,202.0,139.0,193.0,148.0,207.0,409.0
01/21/2050,386.0,200.0,134.0,192.0,148.0,220.0,377.64285714285717
01/22/2050,389.0,199.0,149.0,188.0,387.0,234.0,367.14285714285717
01/23/2050,671.0,204.0,134.0,193.0,3200.0,223.0,532.0714285714286
01/24/2050,613.0,199.0,140.0,207.0,2970.0,171.0,480.14285714285717
01/25/2050,452.0,199.0,173.0,239.0,4220.0,155.0,514.1428571428571
01/26/2050,403.0,229.0,187.0,290.0,4600.0,151.0,814.3571428571429
01/27/2050,390.0,228.0,186.0,222.0,1590.0,151.0,525.0714285714286
01/28/2050,364.0,227.0,168.0,198.0,787.0,167.0,388.7142857142857
01/29/2050,618.0,226.0,197.0,193.0,495.0,156.0,366.42857142857144
