dw_date,2020,2021,2022,2023,2024,2025,20-yr avg.
01/01/2050,155.0,117.0,177.0,88.2,85.4,80.9,191.51500000000001
01/02/2050,155.0,117.0,173.0,88.6,91.0,80.6,192.87
01/03/2050,153.0,117.0,177.0,87.8,88.3,81.9,193.23499999999999
01/04/2050,152.0,116.0,180.0,91.2,87.4,82.7,192.45499999999998
01/05/2050,152.0,121.0,177.0,90.8,88.0,82.2,192.31
01/06/2050,153.0,122.0,175.0,91.1,87.9,81.0,191.66500000000002
01/07/2050,152.0,121.0,174.0,91.0,88.1,81.4,191.32
01/08/2050,152.0,120.0,174.0,90.7,90.3,81.8,191.17000000000002
01/09/2050,153.0,120.0,171.0,90.2,89.2,84.1,191.97
01/10/2050,156.0,123.0,168.0,88.1,89.5,83.0,191.325
01/11/2050,164.0,120.0,164.0,87.8,89.8,82.8,190.57999999999998
01/12/2050,162.0,120.0,165.0,89.0,89.2,83.0,190.48
01/13/2050,163.0,120.0,164.0,90.5,89.3,83.6,195.53
01/14/2050,163.0,120.0,163.0,90.3,88.8,84.3,196.845
01/15/2050,163.0,119.0,157.0,91.0,88.0,83.9,195.0
01/16/2050,162.0,119.0,158.0,90.3,87.5,84.2,195.005
01/17/2050,162.0,119.0,157.0,90.4,87.5,84.7,194.475
01/18/2050,162.0,118.0,159.0,91.4,88.2,84.1,195.275
01/19/2050,161.0,118.0,156.0,90.9,87.9,83.0,194.70999999999998
01/20/2050,160.0,118.0,156.0,90.6,88.2,82.9,194.70999999999998
01/21/2050,159.0,118.0,159.0,91.3,89.0,83.0,194.49
01/22/2050,165.0,119.0,151.0,89.6,164.0,82.6,195.115
01/23/2050,161.0,118.0,150.0,90.3,148.0,82.6,194.06
01/24/2050,162.0,118.0,153.0,95.8,165.0,83.8,194.39000000000001
01/25/2050,162.0,117.0,152.0,90.3,167.0,84.6,199.83499999999998
01/26/2050,162.0,116.0,151.0,90.3,165.0,84.7,195.9
01/27/2050,162.0,116.0,151.0,90.5,165.0,84.5,196.83499999999998
01/28/2050,162.0,115.0,150.0,90.5,164.0,84.6,195.99
01/29/2050,161.0,116.0,150.0,90.5,164.0,84.8,195.775
01/30/2050,160.0,117.0,145.0,89.9,163.0,86.2,195.04000000000002
