dw_date,2020,2021,2022,2023,2024,2025,20-yr avg.
01/01/2050,93.4,89.0,99.4,79.6,60.3,50.2,92.14500000000001
01/02/2050,93.4,88.9,99.4,79.6,60.3,50.1,92.13000000000001
01/03/2050,93.4,88.9,99.3,79.6,60.3,50.1,92.135
01/04/2050,93.4,88.9,99.2,79.5,60.3,50.0,92.14
01/05/2050,93.3,88.9,99.2,79.4,60.3,50.0,92.115
01/06/2050,93.3,88.9,99.2,79.4,60.3,50.0,92.1
01/07/2050,93.3,88.9,99.1,79.4,60.2,49.9,92.09
01/08/2050,93.3,88.8,99.0,79.4,60.2,49.8,92.095
01/09/2050,93.2,88.8,99.0,79.3,60.2,49.8,92.115
01/10/2050,93.3,88.8,99.0,79.3,60.2,49.8,92.1
01/11/2050,93.4,88.9,98.9,79.3,60.1,49.8,92.10499999999999
01/12/2050,93.3,88.9,98.9,79.2,60.1,49.7,92.11000000000001
01/13/2050,93.3,88.8,98.9,79.1,60.0,49.7,92.11000000000001
01/14/2050,93.3,88.8,98.8,79.1,60.0,49.6,92.11500000000001
01/15/2050,93.3,88.8,98.8,79.0,59.9,49.6,92.145
01/16/2050,93.3,88.7,98.6,79.0,59.9,49.6,92.17999999999999
01/17/2050,93.4,88.7,98.6,78.9,59.8,49.6,92.52631578947367
01/18/2050,93.4,88.7,98.5,78.9,59.7,49.5,92.215
01/19/2050,93.4,88.6,98.5,78.9,59.7,49.5,92.22
01/20/2050,93.5,88.7,98.5,78.8,59.6,49.4,92.235
01/21/2050,93.5,88.7,98.4,78.7,59.6,49.4,92.24
01/22/2050,93.6,88.7,98.3,78.7,59.8,49.3,92.26500000000001
01/23/2050,93.6,88.7,98.3,78.6,59.9,49.3,92.3
01/24/2050,93.6,88.7,98.2,78.7,60.1,49.2,92.325
01/25/2050,93.6,88.7,98.2,78.6,60.2,49.2,92.375
01/26/2050,93.6,88.7,98.2,78.6,60.3,49.2,93.19999999999999
01/27/2050,93.6,88.7,98.1,78.5,60.4,49.2,93.2
01/28/2050,93.7,88.6,98.1,78.5,60.4,49.1,92.42499999999998
01/29/2050,93.7,88.6,98.1,78.5,60.4,49.1,92.45
01/30/2050,93.6,88.6,98.1,78.5,60.4,49.1,92.47
01/31/2050,93.6,88.6,98.1,78.5,60.4,49.1,92.49
02/01/2050,93.6,88.6,98.1,78.5,60.4,49.1,92.525
02/02/2050,93.6,88.5,98.2,78.5,60.4,49.1,92.53999999999999
02/03/2050,93.6,88.5,98.7,78.5,60.5,49.1,92.55
02/04/2050,93.6,88.5,98.6,78.4,60.5,49.0,92.63
02/05/2050,93.6,88.5,98.6,78.4,60.5,49.0,92.725
02/06/2050,93.5,88.5,98.6,78.3,60.5,49.0,92.78999999999999
02/07/2050,93.4,88.4,98.6,78.3,60.4,49.0,92.83000000000001
02/08/2050,93.4,88.4,98.6,78.4,60.4,49.0,92.86500000000001
02/09/2050,93.4,88.4,98.5,78.4,60.4,49.0,92.91
02/10/2050,93.5,88.4,98.5,78.3,60.5,48.9,92.92999999999999
02/11/2050,93.5,88.4,98.5,78.3,60.6,49.0,92.955
02/12/2050,93.7,88.4,98.5,78.2,60.6,49.1,92.97999999999999
02/13/2050,93.7,88.4,98.5,78.2,60.6,49.1,93.01
02/14/2050,93.7,88.3,98.5,78.1,60.6,49.0,93.035
02/15/2050,93.7,88.4,98.4,78.1,60.5,49.0,93.05
02/16/2050,93.7,88.3,98.4,78.1,60.5,49.0,93.05999999999999
02/17/2050,93.7,88.3,98.4,78.0,60.5,48.9,93.07
02/18/2050,93.7,88.3,98.4,78.0,60.5,48.9,93.10499999999999
02/19/2050,93.7,88.3,98.4,77.9,60.5,48.9,93.095
02/20/2050,93.7,88.2,98.3,77.9,60.5,48.8,92.73684210526316
02/21/2050,93.7,88.2,98.3,77.9,60.5,48.7,93.11500000000001
02/22/2050,93.7,88.2,98.3,77.8,60.4,48.7,93.105
02/23/2050,93.7,88.2,98.3,77.8,60.4,48.7,93.14000000000001
02/24/2050,93.7,88.1,98.3,77.8,60.4,48.6,93.13499999999999
02/25/2050,93.7,88.1,98.2,77.7,60.4,,92.36111111111111
02/26/2050,93.7,88.2,98.2,77.7,60.4,,92.7578947368421
02/27/2050,93.6,88.2,98.2,77.6,60.4,,93.11999999999999
02/28/2050,93.5,88.2,98.2,77.6,60.4,,92.75263157894737
02/29/2050,93.5,,,,60.3,,94.82000000000001
03/01/2050,93.5,88.1,98.1,77.5,60.3,,92.74736842105263
03/02/2050,93.5,88.1,98.1,77.6,60.3,,93.1
03/03/2050,93.5,88.1,98.1,77.6,60.3,,92.73157894736842
03/04/2050,93.6,88.0,98.1,77.5,60.2,,93.08
03/05/2050,93.6,88.0,98.1,77.5,60.2,,93.06500000000001
03/06/2050,93.6,88.0,98.1,77.5,60.2,,93.05999999999999
03/07/2050,93.6,88.0,98.1,77.4,60.2,,93.035
03/08/2050,93.6,87.9,98.0,77.4,60.2,,93.01500000000001
03/09/2050,93.6,87.9,98.0,77.4,60.1,,93.03
03/10/2050,93.7,87.9,98.0,77.3,60.1,,93.045
03/11/2050,93.7,87.9,98.0,77.3,60.0,,93.01500000000001
03/12/2050,93.7,87.9,97.9,77.2,60.0,,93.26
03/13/2050,93.7,87.9,97.9,77.2,60.0,,93.38
03/14/2050,93.7,87.9,97.8,77.1,60.0,,93.43
03/15/2050,93.7,87.9,97.8,77.0,60.0,,93.47
03/16/2050,93.7,87.8,97.8,77.0,59.9,,93.49
03/17/2050,93.6,87.8,97.8,77.0,60.0,,93.49
03/18/2050,93.7,87.8,97.8,76.9,60.0,,93.505
03/19/2050,93.7,87.7,97.7,76.8,60.0,,93.515
03/20/2050,93.8,87.7,97.6,76.8,60.0,,93.54499999999999
03/21/2050,93.8,87.6,97.7,76.7,60.0,,93.625
03/22/2050,93.9,87.6,97.8,76.7,60.0,,93.66
03/23/2050,93.9,87.7,97.7,76.7,60.0,,93.68499999999999
03/24/2050,93.9,87.7,97.7,76.7,59.9,,93.69
03/25/2050,93.9,87.7,97.7,76.6,59.9,,93.66999999999999
03/26/2050,93.9,87.6,97.6,76.6,59.9,,93.67999999999999
03/27/2050,93.9,87.6,97.6,76.6,59.9,,93.815
03/28/2050,94.0,87.6,97.6,76.5,59.9,,93.85
03/29/2050,94.0,87.5,97.5,76.5,59.8,,93.875
03/30/2050,93.9,87.5,97.6,76.4,59.8,,93.88499999999999
03/31/2050,94.0,87.5,97.5,76.4,59.8,,93.885
04/01/2050,93.9,87.4,97.5,76.4,59.8,,93.88000000000002
04/02/2050,93.9,87.4,97.4,76.3,59.7,,93.89000000000001
04/03/2050,94.0,87.3,97.4,76.3,59.7,,93.9
04/04/2050,94.2,87.3,97.4,76.3,59.6,,93.89500000000001
04/05/2050,94.2,87.3,97.4,76.2,59.6,,93.865
04/06/2050,94.2,87.2,97.4,76.3,59.6,,93.85499999999999
04/07/2050,94.3,87.2,97.3,76.4,59.5,,93.845
04/08/2050,94.3,87.2,97.3,76.4,59.5,,93.83500000000001
04/09/2050,94.4,87.2,97.2,76.4,59.5,,93.81
04/10/2050,94.4,87.2,97.1,76.4,59.5,,93.8
04/11/2050,94.4,87.1,97.1,76.3,59.4,,93.8
04/12/2050,94.5,87.1,97.1,76.3,59.3,,93.795
04/13/2050,94.4,87.0,97.1,76.2,59.3,,93.785
04/14/2050,94.3,87.0,97.0,76.2,59.2,,93.4421052631579
04/15/2050,94.3,87.0,97.0,76.2,59.2,,93.42631578947368
04/16/2050,94.3,86.9,96.9,76.1,59.1,,93.40526315789472
04/17/2050,94.3,86.9,96.9,76.1,59.1,,93.73
04/18/2050,94.3,86.9,96.9,76.0,59.1,,93.755
04/19/2050,94.3,86.8,96.8,76.0,59.0,,93.755
04/20/2050,94.3,86.7,96.8,76.0,59.0,,93.40526315789474
04/21/2050,94.3,86.6,96.8,76.4,59.0,,93.40526315789474
04/22/2050,94.2,86.6,96.7,76.4,59.0,,93.73
04/23/2050,94.2,86.6,96.7,76.3,58.9,,93.7
04/24/2050,94.2,86.6,96.6,76.3,58.9,,93.70500000000001
04/25/2050,94.2,86.6,96.8,76.2,58.8,,93.70500000000001
04/26/2050,94.1,86.5,96.8,76.2,58.8,,93.71000000000001
04/27/2050,94.1,86.5,96.8,76.3,58.8,,93.71
04/28/2050,94.0,86.5,96.8,76.3,58.8,,93.69999999999999
04/29/2050,94.1,86.6,96.7,76.3,58.8,,93.685
04/30/2050,94.1,86.7,96.7,76.2,58.7,,93.655
05/01/2050,94.0,87.0,96.7,76.2,58.7,,93.655
05/02/2050,93.9,87.4,96.7,76.1,58.7,,93.66499999999999
05/03/2050,93.9,88.3,96.6,76.1,58.7,,93.65
05/04/2050,93.9,88.7,96.6,76.0,58.6,,93.63000000000001
05/05/2050,93.8,88.8,96.6,76.0,58.6,,93.66
05/06/2050,93.8,88.9,96.6,76.0,58.6,,93.67999999999999
05/07/2050,93.7,89.0,96.6,75.9,58.6,,93.68
05/08/2050,93.7,89.0,96.5,75.9,58.5,,93.68500000000002
05/09/2050,93.6,89.0,96.5,75.8,58.5,,93.685
05/10/2050,93.5,89.0,96.4,75.8,58.5,,93.70500000000001
05/11/2050,93.4,89.1,96.4,75.8,58.4,,93.40526315789474
05/12/2050,94.2,89.1,96.3,75.7,58.4,,93.46315789473684
05/13/2050,95.2,89.0,96.3,76.0,58.3,,93.83500000000001
05/14/2050,95.2,89.0,96.2,76.0,58.3,,93.865
05/15/2050,95.3,89.0,96.2,76.0,58.2,,93.925
05/16/2050,95.5,89.0,96.1,76.4,58.2,,93.99499999999999
05/17/2050,95.6,89.0,96.1,76.4,58.2,,94.07000000000001
05/18/2050,95.7,89.3,95.9,76.4,58.1,,94.22
05/19/2050,95.7,89.6,95.9,76.4,58.1,,94.27499999999999
05/20/2050,95.7,89.6,95.8,76.4,58.0,,94.33
05/21/2050,95.7,89.6,95.7,76.4,57.9,,94.355
05/22/2050,95.7,89.7,95.7,76.4,57.9,,94.38499999999999
