dw_date,2020,2021,2022,2023,2024,2025,20-yr avg.
01/01/2050,671.94,663.78,663.84,637.61,639.3,626.97,671.2470000000001
01/02/2050,672.13,663.88,663.63,637.4,639.16,,671.272
01/03/2050,671.81,664.03,663.25,637.16,639.82,,671.1875
01/04/2050,671.69,663.86,663.02,636.72,639.85,,671.1595
01/05/2050,671.66,663.82,662.89,636.41,640.08,,671.2275000000001
01/06/2050,671.55,663.74,662.87,636.17,640.28,,671.275
01/07/2050,671.2,663.76,662.73,636.58,640.12,,671.3320000000001
01/08/2050,670.95,663.48,662.86,636.67,639.96,,671.3589999999998
01/09/2050,670.74,663.67,663.22,636.27,639.73,,671.5024999999999
01/10/2050,670.92,664.44,663.19,636.18,639.63,,671.5190000000001
01/11/2050,671.02,664.54,663.19,636.23,639.48,,671.682
01/12/2050,671.49,664.74,663.2,635.97,639.55,,671.6775
01/13/2050,671.4,664.85,662.93,636.05,639.75,,671.6645
01/14/2050,671.57,664.99,662.8,636.58,639.07,,671.6765
01/15/2050,671.63,665.18,662.98,636.85,638.46,,671.858
01/16/2050,671.51,665.11,663.03,636.77,636.95,,672.025
01/17/2050,671.74,665.29,662.87,636.37,636.54,,672.1254999999999
01/18/2050,672.35,665.2,663.2,636.24,637.22,,672.1995
01/19/2050,672.41,664.68,662.89,635.56,637.47,,672.3644999999999
01/20/2050,672.34,665.14,662.89,636.04,637.69,,672.4035000000001
01/21/2050,672.25,665.23,662.51,636.26,638.44,,672.377
01/22/2050,672.48,665.19,662.88,636.5,641.95,,672.4935
01/23/2050,673.0,665.44,663.14,636.04,643.14,,672.4685
01/24/2050,672.93,665.77,662.81,636.52,645.02,,672.433
01/25/2050,673.21,665.88,662.46,636.69,646.68,,672.5965
01/26/2050,673.45,665.75,662.42,636.64,646.77,,672.6400000000001
01/27/2050,673.07,665.25,662.26,636.91,647.1,,672.6320000000001
01/28/2050,672.95,664.93,662.08,637.27,646.49,,672.6029999999998
01/29/2050,673.13,665.25,662.19,637.5,645.97,,672.636
01/30/2050,673.01,665.49,662.41,636.94,645.92,,672.5894999999999
01/31/2050,673.09,665.08,662.35,636.96,645.69,,672.604
02/01/2050,672.9,664.45,663.03,637.25,645.24,,672.553
02/02/2050,672.99,664.02,662.8,637.59,645.22,,672.5665000000001
02/03/2050,672.87,664.12,663.88,637.83,646.75,,672.562
02/04/2050,672.64,664.07,664.53,638.09,647.73,,672.698
02/05/2050,672.6,663.85,664.62,638.39,647.52,,672.691
02/06/2050,672.6,663.95,665.09,638.06,647.49,,672.6474999999999
02/07/2050,672.35,664.07,664.99,637.96,647.43,,672.7
02/08/2050,672.47,663.67,665.19,637.64,647.42,,672.691
02/09/2050,672.44,663.42,665.4,638.23,647.42,,672.6339999999999
02/10/2050,672.37,663.35,665.8,638.13,647.47,,672.5959999999999
02/11/2050,672.39,664.12,665.76,638.31,647.81,,672.519
02/12/2050,672.97,664.76,665.77,638.58,647.06,,672.4119999999998
02/13/2050,673.21,665.17,665.97,638.33,645.9,,672.3185000000001
02/14/2050,673.47,665.21,665.62,638.23,645.07,,672.2685
