dw_date,2020,2021,2022,2023,2024,2025,20-yr avg.
01/01/2050,78.0,41.7,25.9,6.3,3.3,2.7,62.82000000000001
01/02/2050,77.9,41.6,25.9,6.3,3.3,2.7,62.825
01/03/2050,77.8,41.6,25.8,6.3,3.3,2.6,62.795
01/04/2050,77.7,41.5,25.8,6.3,3.3,2.6,62.775
01/05/2050,77.6,41.4,25.7,6.3,3.3,2.6,62.75
01/06/2050,77.5,41.4,25.7,6.2,3.3,2.6,62.739999999999995
01/07/2050,77.5,41.3,25.7,6.2,3.3,2.6,62.69
01/08/2050,77.3,41.3,25.6,6.2,3.3,2.6,62.675
01/09/2050,77.2,41.2,25.6,6.2,3.3,2.6,62.669999999999995
01/10/2050,77.2,41.2,25.6,6.2,3.3,2.6,62.625
01/11/2050,77.4,41.2,25.6,6.2,3.3,2.6,62.620000000000005
01/12/2050,77.2,41.1,25.5,6.2,3.3,2.6,62.61
01/13/2050,77.1,41.1,25.5,6.2,3.3,2.6,62.585
01/14/2050,77.0,41.0,25.5,6.2,3.3,2.6,62.58
01/15/2050,77.0,41.0,25.5,6.1,3.3,2.6,62.57499999999999
01/16/2050,76.9,40.9,25.4,6.1,3.3,2.6,62.585
01/17/2050,77.4,40.9,25.4,6.1,3.3,2.6,62.60499999999998
01/18/2050,77.4,40.8,25.3,6.1,3.3,2.6,62.605
01/19/2050,77.4,40.8,25.3,6.1,3.3,2.6,62.6
01/20/2050,77.3,40.7,25.3,6.1,3.3,2.6,62.585
01/21/2050,77.3,40.7,25.2,6.1,3.3,2.5,62.565
01/22/2050,77.3,40.7,25.2,6.1,3.3,2.6,62.55499999999999
01/23/2050,77.2,40.6,25.2,6.0,3.3,2.5,62.529999999999994
01/24/2050,77.2,40.6,25.1,6.0,3.3,2.5,62.515
01/25/2050,77.1,40.6,25.1,6.0,3.3,2.5,62.510000000000005
01/26/2050,77.1,40.5,25.1,6.0,3.3,2.5,62.49499999999999
01/27/2050,77.0,40.4,25.0,6.0,3.3,2.5,62.475
01/28/2050,77.0,40.4,25.0,6.0,3.3,2.5,62.455
01/29/2050,76.9,40.3,25.0,6.0,3.3,2.5,62.46
01/30/2050,76.7,40.3,25.0,6.0,3.3,2.5,62.455000000000005
01/31/2050,76.7,40.3,24.9,6.0,3.3,2.5,62.44
02/01/2050,76.6,40.2,24.9,6.0,3.3,2.5,62.455
02/02/2050,76.5,40.1,24.9,6.0,3.3,2.5,62.44
02/03/2050,76.5,40.1,24.9,6.0,3.3,2.5,62.42
02/04/2050,76.4,40.0,25.3,5.9,3.3,2.5,62.485
02/05/2050,76.4,40.0,25.2,5.9,3.3,2.5,62.55
02/06/2050,76.2,39.9,25.2,5.9,3.3,2.5,62.57500000000001
02/07/2050,76.1,39.9,25.2,5.9,3.3,2.5,62.589999999999996
02/08/2050,76.0,39.8,25.2,5.9,3.2,2.5,62.605
02/09/2050,76.0,39.8,25.1,5.9,3.2,2.5,62.46500000000001
02/10/2050,75.9,39.7,25.1,5.9,3.2,2.5,62.464999999999996
02/11/2050,75.8,39.6,25.1,5.9,3.2,2.5,62.45
02/12/2050,76.0,39.6,25.1,5.9,3.2,2.5,62.464999999999996
02/13/2050,76.0,39.6,25.0,5.9,3.2,2.5,62.44000000000001
02/14/2050,75.9,39.6,25.0,5.9,3.2,2.5,62.44
02/15/2050,75.8,39.5,25.0,5.9,3.2,2.5,62.44
02/16/2050,75.8,39.5,24.9,5.9,3.2,2.5,62.43499999999999
02/17/2050,75.7,39.4,24.9,5.8,3.2,2.4,62.455000000000005
02/18/2050,75.6,39.3,24.9,5.8,3.2,2.4,62.460000000000015
02/19/2050,75.6,39.3,24.9,5.8,3.2,2.4,62.435
02/20/2050,75.6,39.3,24.8,5.8,3.2,2.4,62.464999999999996
02/21/2050,75.5,39.2,24.8,5.8,3.2,2.4,62.464999999999996
02/22/2050,75.3,39.2,24.8,5.8,3.2,2.4,62.46
02/23/2050,75.3,39.2,24.7,5.8,3.2,2.4,62.455
02/24/2050,75.2,39.1,24.7,5.7,3.2,2.4,62.44000000000001
02/25/2050,75.2,39.1,24.7,5.7,3.1,,62.455000000000005
02/26/2050,75.1,39.0,24.6,5.7,3.1,,62.425
02/27/2050,75.0,39.0,24.6,5.7,3.1,,62.40500000000001
02/28/2050,74.9,39.0,24.6,5.7,3.1,,62.4
02/29/2050,74.8,,,,3.1,,67.22
03/01/2050,74.7,38.8,24.5,5.7,3.1,,62.370000000000005
03/02/2050,74.7,38.9,24.5,5.7,3.1,,62.325
03/03/2050,74.6,38.8,24.5,5.7,3.1,,62.294999999999995
03/04/2050,74.6,38.8,24.4,5.7,3.1,,62.260000000000005
03/05/2050,74.5,38.8,24.4,5.7,3.1,,62.235000000000014
03/06/2050,74.4,38.7,24.3,5.6,3.1,,62.214999999999996
03/07/2050,74.3,38.6,24.3,5.6,3.1,,62.19500000000001
03/08/2050,74.2,38.6,24.2,5.6,3.1,,62.18000000000001
03/09/2050,74.2,38.5,24.1,5.6,3.1,,62.15000000000001
03/10/2050,74.1,38.5,24.0,5.6,3.0,,62.145
03/11/2050,74.1,38.4,23.8,5.6,3.0,,62.129999999999995
03/12/2050,74.0,38.4,23.7,5.6,3.0,,62.13500000000001
03/13/2050,74.0,38.4,23.5,5.6,3.0,,62.19
03/14/2050,73.9,38.4,23.4,5.5,3.0,,62.2
03/15/2050,73.8,38.3,23.3,5.5,3.0,,62.195000000000014
03/16/2050,73.8,38.2,23.2,5.5,3.0,,62.245000000000005
03/17/2050,73.7,38.2,23.1,5.5,3.0,,62.23
03/18/2050,73.7,38.1,23.1,5.5,3.0,,62.24000000000001
03/19/2050,73.6,38.1,22.9,5.5,3.0,,62.25500000000001
03/20/2050,73.6,38.0,22.8,5.5,3.0,,62.29
03/21/2050,73.5,37.9,22.7,5.4,3.0,,62.370000000000005
03/22/2050,73.5,37.9,22.7,5.4,3.0,,62.36
03/23/2050,73.4,37.8,22.5,5.4,3.0,,62.364999999999995
03/24/2050,73.4,37.7,22.5,5.4,3.0,,62.335
03/25/2050,73.3,37.6,22.4,5.4,3.0,,62.34499999999999
03/26/2050,73.3,37.5,22.3,5.4,3.0,,62.33
03/27/2050,73.2,37.4,22.3,5.4,3.0,,62.394999999999996
03/28/2050,73.1,36.9,22.2,5.4,3.0,,62.45
03/29/2050,73.0,37.1,22.1,5.3,2.9,,62.46
03/30/2050,72.9,37.0,22.0,5.3,2.9,,62.44499999999998
03/31/2050,72.9,36.7,21.9,5.3,2.9,,62.539999999999985
