dw_date,2020,2021,2022,2023,2024,2025,20-yr avg.
01/01/2050,81.5,67.3,70.9,45.8,37.6,43.9,74.785
01/02/2050,81.7,67.3,70.9,45.7,37.6,43.9,74.81
01/03/2050,82.3,67.3,70.8,45.7,37.8,43.8,74.845
01/04/2050,83.0,67.3,70.7,45.7,37.8,43.8,74.865
01/05/2050,83.5,67.2,70.7,45.7,37.8,43.8,74.9
01/06/2050,83.8,67.3,70.7,45.7,37.8,43.7,74.925
01/07/2050,83.8,67.3,70.6,45.7,37.8,43.7,74.95000000000002
01/08/2050,83.8,67.3,70.5,45.7,37.8,43.6,74.97999999999999
01/09/2050,83.7,67.3,70.5,45.6,37.8,43.5,75.005
01/10/2050,83.7,67.3,70.4,45.6,37.8,43.6,75.055
01/11/2050,83.8,67.3,70.4,45.6,37.8,43.7,75.07000000000001
01/12/2050,83.7,67.3,70.4,45.6,37.7,43.8,75.10000000000001
01/13/2050,83.6,67.3,70.3,45.6,37.7,43.8,75.11499999999998
01/14/2050,83.6,67.3,70.3,45.6,37.6,43.7,75.15
01/15/2050,83.6,67.3,70.3,45.5,37.6,43.7,75.18
01/16/2050,83.6,67.3,70.2,45.5,37.6,43.7,75.235
01/17/2050,83.7,67.3,70.2,45.4,37.5,43.6,75.30499999999999
01/18/2050,83.7,67.2,70.1,45.4,37.4,43.6,75.33
01/19/2050,83.6,67.3,70.1,45.3,37.4,43.6,75.345
01/20/2050,83.6,67.3,70.0,45.2,37.4,43.5,75.375
01/21/2050,83.5,67.3,70.0,45.2,37.4,43.5,75.39500000000001
01/22/2050,83.5,67.2,69.9,45.1,37.6,43.4,75.42
01/23/2050,83.4,67.3,69.8,45.0,37.7,43.4,75.435
01/24/2050,83.3,67.3,69.8,45.1,37.7,43.3,75.45500000000001
01/25/2050,83.3,67.3,69.8,45.2,37.8,43.3,75.47
01/26/2050,83.2,67.2,69.7,45.2,37.9,43.2,75.47
01/27/2050,83.1,67.3,69.7,45.2,37.9,43.2,75.495
01/28/2050,83.2,67.2,69.7,45.2,38.0,43.2,75.50500000000001
01/29/2050,83.1,67.2,69.6,45.1,38.0,43.2,75.565
01/30/2050,83.1,67.1,69.6,45.1,38.0,43.3,74.73157894736842
01/31/2050,83.0,67.1,69.6,45.1,38.1,43.4,74.83157894736841
02/01/2050,83.0,67.1,69.6,45.2,38.1,43.3,74.89999999999999
02/02/2050,83.0,67.0,69.7,45.3,38.1,43.3,74.93157894736842
02/03/2050,82.9,67.0,69.8,45.3,38.2,43.3,74.94736842105263
02/04/2050,82.8,67.0,69.7,45.3,38.2,43.3,75.05263157894737
02/05/2050,82.8,66.9,69.7,45.2,38.1,43.3,75.2578947368421
02/06/2050,82.7,66.9,69.7,45.2,38.2,43.3,75.32631578947367
02/07/2050,82.6,66.8,69.7,45.3,38.1,43.3,75.3736842105263
02/08/2050,82.5,66.8,69.7,45.5,38.1,43.3,75.40526315789472
02/09/2050,82.5,66.8,69.7,45.5,38.1,43.3,75.45263157894736
02/10/2050,82.5,66.8,69.7,45.5,38.2,43.4,75.48421052631579
02/11/2050,82.5,66.8,69.7,45.6,38.3,43.4,75.5
02/12/2050,82.8,66.9,69.7,45.6,38.4,43.4,75.52631578947368
02/13/2050,83.0,66.9,69.7,45.6,38.4,43.4,75.51578947368421
02/14/2050,83.0,66.9,69.7,45.6,38.5,43.4,75.51052631578948
02/15/2050,83.0,67.0,69.6,45.6,38.6,43.4,75.50526315789475
02/16/2050,83.0,67.0,69.6,45.6,38.6,43.4,75.5
02/17/2050,83.0,67.1,69.6,45.6,38.5,43.4,75.51052631578948
02/18/2050,83.0,67.1,69.5,45.6,38.5,43.4,75.5421052631579
02/19/2050,82.9,67.0,69.5,45.5,38.5,43.4,75.58947368421052
02/20/2050,82.9,66.9,69.5,45.5,38.5,43.4,75.65263157894738
02/21/2050,82.9,66.9,69.4,45.5,38.5,43.5,75.69473684210527
02/22/2050,82.8,66.8,69.4,45.5,38.5,43.5,75.70526315789475
02/23/2050,82.7,66.9,69.4,45.5,38.5,43.5,75.7421052631579
02/24/2050,82.7,66.9,69.3,45.5,38.5,43.4,75.78421052631579
02/25/2050,82.6,66.9,69.3,45.5,38.4,,75.83684210526316
02/26/2050,82.5,66.9,69.2,45.5,38.4,,75.86842105263159
02/27/2050,82.3,66.9,69.2,45.5,38.4,,75.88947368421051
02/28/2050,82.3,66.9,69.1,45.4,38.4,,75.89473684210526
02/29/2050,82.2,,,,38.3,,73.975
03/01/2050,82.1,66.9,69.1,45.4,38.3,,75.91052631578947
03/02/2050,82.0,67.0,69.0,45.4,38.3,,75.91052631578948
03/03/2050,82.0,67.0,69.0,45.5,38.3,,75.91052631578948
03/04/2050,82.1,66.9,69.0,45.4,38.3,,76.86
03/05/2050,82.1,66.9,68.9,45.5,38.3,,76.87500000000001
03/06/2050,82.2,66.8,68.9,45.4,38.2,,76.89500000000001
03/07/2050,82.2,66.8,68.9,45.4,38.2,,76.87
03/08/2050,82.1,66.7,68.8,45.4,38.2,,76.89
03/09/2050,82.1,66.7,68.8,45.4,38.2,,76.91999999999999
03/10/2050,82.2,66.7,68.7,45.4,38.1,,76.95500000000001
03/11/2050,82.2,66.7,68.7,45.4,38.1,,76.995
03/12/2050,82.2,66.7,68.6,45.3,38.1,,77.18999999999998
03/13/2050,82.2,66.7,68.6,45.3,38.0,,77.33000000000001
03/14/2050,82.2,66.7,68.5,45.2,38.0,,77.45500000000001
03/15/2050,82.2,66.7,68.4,45.2,38.0,,77.52000000000001
03/16/2050,82.2,66.7,68.4,45.1,38.0,,77.58500000000001
03/17/2050,82.3,66.7,68.3,45.1,38.0,,77.595
03/18/2050,82.4,66.6,68.3,45.1,38.0,,77.685
03/19/2050,82.4,66.5,68.2,45.0,38.0,,77.735
03/20/2050,82.4,66.5,68.1,45.0,38.0,,77.86
03/21/2050,82.7,66.4,68.1,45.0,37.9,,78.01500000000001
03/22/2050,83.8,66.4,68.2,44.9,37.9,,78.04499999999999
03/23/2050,84.8,66.4,68.1,44.9,37.9,,78.05499999999999
03/24/2050,85.3,66.4,68.1,44.8,37.9,,78.07000000000001
03/25/2050,85.6,66.5,68.0,44.8,37.9,,78.05999999999999
03/26/2050,85.8,66.5,67.9,44.8,37.8,,78.075
03/27/2050,86.1,66.5,67.8,44.7,37.8,,78.30500000000002
03/28/2050,86.2,66.5,67.8,44.7,37.8,,78.42500000000001
03/29/2050,86.1,66.4,67.7,44.6,37.7,,78.485
03/30/2050,86.1,66.4,67.7,44.6,37.7,,78.54499999999999
