dw_date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
01/01/2050,93.4,100.0,100.0,100.0,99.7,100.0,95.2,85.0,100.0,77.9,80.6,97.5,79.1,81.9,84.4,75.5,100.0,100.0,92.7,100.0,93.4,89.0,99.4,79.6,60.3,50.2
01/02/2050,93.3,100.0,100.0,100.0,99.7,100.0,95.2,85.0,100.0,77.8,80.6,97.5,79.1,81.8,84.4,75.5,100.0,100.0,92.7,100.0,93.4,88.9,99.4,79.6,60.3,50.1
01/03/2050,93.4,100.0,100.0,100.0,99.7,100.0,95.2,85.0,100.0,77.8,80.7,97.5,79.0,81.8,84.3,75.6,100.0,100.0,92.7,100.0,93.4,88.9,99.3,79.6,60.3,50.1
01/04/2050,93.4,100.0,100.0,100.0,99.8,100.0,95.2,85.1,100.0,77.8,80.7,97.5,79.0,81.8,84.3,75.6,100.0,100.0,92.6,100.0,93.4,88.9,99.2,79.5,60.3,50.0
01/05/2050,93.3,100.0,100.0,99.7,99.8,100.0,95.2,85.1,100.0,77.8,80.7,97.5,79.0,81.8,84.3,75.5,100.0,100.0,92.6,100.0,93.3,88.9,99.2,79.4,60.3,50.0
01/06/2050,93.2,100.0,100.0,99.6,99.7,100.0,95.1,85.2,100.0,77.8,80.7,97.5,79.0,81.8,84.3,75.5,100.0,100.0,92.6,100.0,93.3,88.9,99.2,79.4,60.3,50.0
01/07/2050,93.2,100.0,100.0,99.8,99.7,100.0,95.1,85.2,100.0,77.8,80.7,97.4,79.0,81.7,84.2,75.5,100.0,100.0,92.5,100.0,93.3,88.9,99.1,79.4,60.2,49.9
01/08/2050,93.4,100.0,100.0,100.0,99.7,100.0,95.0,85.2,100.0,77.7,80.7,97.4,78.9,81.7,84.2,75.5,100.0,100.0,92.5,100.0,93.3,88.8,99.0,79.4,60.2,49.8
01/09/2050,93.4,100.0,100.0,100.0,99.7,99.8,95.0,85.2,100.0,77.7,80.7,97.6,79.0,82.1,84.2,75.4,100.0,100.0,92.5,100.0,93.2,88.8,99.0,79.3,60.2,49.8
01/10/2050,93.4,100.0,100.0,100.0,99.7,99.7,95.0,85.1,100.0,77.7,80.6,97.7,78.9,82.1,84.2,75.4,100.0,100.0,92.5,100.0,93.3,88.8,99.0,79.3,60.2,49.8
01/11/2050,93.4,100.0,100.0,100.0,99.7,99.7,95.0,85.1,100.0,77.7,80.6,97.6,78.9,82.2,84.2,75.5,100.0,100.0,92.5,100.0,93.4,88.9,98.9,79.3,60.1,49.8
