dw_date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01/01/2050,73.8,100.0,99.6,100.0,79.2,100.0,73.5,50.4,99.3,63.1,63.1,77.9,34.7,38.4,36.4,32.3,92.8,100.0,81.2,100.0,81.5,67.3,70.9,45.8,37.6
01/02/2050,73.8,100.0,100.0,99.9,79.1,100.0,73.5,50.5,99.5,63.0,63.2,77.8,34.7,38.4,36.4,32.3,92.9,100.0,81.2,100.0,81.7,67.3,70.9,45.7,37.6
01/03/2050,73.8,100.0,100.0,100.0,79.1,100.0,73.5,50.5,99.9,63.0,63.2,77.9,34.6,38.4,36.4,32.3,93.0,100.0,81.3,100.0,82.3,67.3,70.8,45.7,37.8
01/04/2050,73.7,100.0,100.0,100.0,79.1,100.0,73.5,50.7,100.0,63.0,63.2,78.0,34.6,38.4,36.3,32.4,93.1,100.0,81.3,100.0,83.0,67.3,70.7,45.7,37.8
01/05/2050,73.7,100.0,100.0,100.0,79.2,100.0,73.6,50.7,100.0,63.1,63.3,78.2,34.6,38.4,36.3,32.3,93.2,100.0,81.4,100.0,83.5,67.2,70.7,45.7,37.8
01/06/2050,73.7,100.0,100.0,100.0,79.4,100.0,73.5,50.8,100.0,63.1,63.4,78.3,34.6,38.4,36.3,32.3,93.3,100.0,81.4,100.0,83.8,67.3,70.7,45.7,37.8
01/07/2050,73.7,100.0,100.0,100.0,79.5,100.0,73.5,50.9,100.0,63.2,63.4,78.4,34.6,38.4,36.3,32.3,93.4,100.0,81.4,100.0,83.8,67.3,70.6,45.7,37.8
01/08/2050,73.8,100.0,100.0,100.0,79.6,100.0,73.5,50.9,100.0,63.2,63.5,78.4,34.6,38.5,36.3,32.3,93.5,100.0,81.5,100.0,83.8,67.3,70.5,45.7,37.8
01/09/2050,73.8,100.0,100.0,100.0,79.6,100.0,73.6,50.9,100.0,63.2,63.4,78.6,34.6,38.8,36.3,32.3,93.6,100.0,81.4,100.0,83.7,67.3,70.5,45.6,37.8
01/10/2050,73.8,100.0,100.0,100.0,79.7,100.0,73.9,51.0,100.0,63.2,63.4,78.8,34.6,39.0,36.3,32.4,93.6,100.0,81.4,100.0,83.7,67.3,70.4,45.6,37.8
01/11/2050,73.8,100.0,100.0,100.0,79.9,100.0,74.0,51.0,100.0,63.1,63.4,78.8,34.6,39.0,36.3,32.4,93.7,100.0,81.4,100.0,83.8,67.3,70.4,45.6,37.8
01/12/2050,73.9,100.0,100.0,100.0,80.0,100.0,74.1,51.0,100.0,63.1,63.6,78.8,34.6,39.1,36.3,32.4,93.7,100.0,81.4,100.0,83.7,67.3,70.4,45.6,37.7
01/13/2050,74.0,100.0,100.0,100.0,80.1,100.0,74.0,51.2,100.0,63.1,63.6,78.8,34.6,39.1,36.3,32.4,93.8,100.0,81.3,100.0,83.6,67.3,70.3,45.6,37.7
01/14/2050,74.0,100.0,100.0,100.0,80.2,100.0,74.0,51.6,100.0,63.1,63.8,78.8,34.6,39.1,36.3,32.4,93.8,100.0,81.3,100.0,83.6,67.3,70.3,45.6,37.6
01/15/2050,73.9,100.0,100.0,100.0,80.4,100.0,73.9,51.9,100.0,63.0,64.0,78.9,34.5,39.2,36.3,32.4,93.9,100.0,81.3,100.0,83.6,67.3,70.3,45.5,37.6
01/16/2050,73.9,100.0,100.0,100.0,80.7,100.0,74.0,52.3,100.0,62.9,64.4,79.0,34.5,39.2,36.2,32.4,94.0,100.0,81.2,100.0,83.6,67.3,70.2,45.5,37.6
01/17/2050,73.8,100.0,100.0,100.0,81.6,100.0,74.0,52.6,100.0,62.9,64.8,79.1,34.5,39.1,36.2,32.4,94.0,100.0,81.1,100.0,83.7,67.3,70.2,45.4,37.5
01/18/2050,73.8,100.0,100.0,100.0,81.8,100.0,73.9,52.8,100.0,62.8,65.1,79.1,34.5,39.1,36.2,32.4,94.1,100.0,81.0,100.0,83.7,67.2,70.1,45.4,37.4
01/19/2050,73.8,100.0,100.0,100.0,82.0,100.0,73.8,52.8,100.0,62.8,65.3,79.2,34.5,39.1,36.2,32.4,94.0,100.0,81.0,100.0,83.6,67.3,70.1,45.3,37.4
01/20/2050,73.8,100.0,100.0,100.0,82.3,100.0,73.8,52.9,100.0,62.7,65.6,79.2,34.5,39.0,36.2,32.4,94.1,100.0,81.0,100.0,83.6,67.3,70.0,45.2,37.4
01/21/2050,73.7,100.0,100.0,100.0,82.5,100.0,73.7,53.1,100.0,62.7,65.8,79.2,34.5,39.0,36.1,32.4,94.2,100.0,81.0,100.0,83.5,67.3,70.0,45.2,37.4
01/22/2050,73.7,100.0,100.0,100.0,82.5,100.0,73.7,53.2,100.0,62.6,66.0,79.2,34.5,39.0,36.2,32.6,94.2,100.0,81.0,100.0,83.5,67.2,69.9,45.1,37.6
01/23/2050,73.7,100.0,100.0,100.0,82.5,100.0,73.7,53.2,100.0,62.6,66.1,79.3,34.5,38.9,36.2,32.8,94.2,100.0,81.0,100.0,83.4,67.3,69.8,45.0,37.7
01/24/2050,73.6,100.0,100.0,100.0,82.6,100.0,73.6,53.3,100.0,62.6,66.2,79.3,34.5,39.0,36.1,33.0,94.3,100.0,81.0,100.0,83.3,67.3,69.8,45.1,37.7
01/25/2050,73.5,100.0,100.0,100.0,82.7,100.0,73.6,53.4,100.0,62.5,66.3,79.3,34.8,38.9,36.1,33.1,94.3,100.0,80.9,100.0,83.3,67.3,69.8,45.2,37.8
01/26/2050,73.4,100.0,100.0,100.0,82.7,100.0,73.6,53.5,100.0,62.4,66.4,79.2,34.9,38.9,36.1,33.1,94.3,100.0,80.9,100.0,83.2,67.2,69.7,45.2,37.9
01/27/2050,73.2,100.0,100.0,100.0,82.8,100.0,73.6,53.6,100.0,62.4,66.5,79.2,35.0,38.9,36.1,33.3,94.4,100.0,80.9,100.0,83.1,67.3,69.7,45.2,37.9
01/28/2050,73.1,100.0,100.0,100.0,82.9,100.0,73.6,53.6,100.0,62.4,66.8,79.2,35.0,38.9,36.0,33.4,94.3,100.0,80.9,100.0,83.2,67.2,69.7,45.2,
01/29/2050,72.8,100.0,100.0,100.0,82.9,100.0,73.7,53.6,100.0,62.3,68.3,79.2,35.0,38.9,36.0,33.4,94.3,100.0,80.9,100.0,83.1,67.2,69.6,45.1,
01/30/2050,72.8,100.0,100.0,100.0,82.9,100.0,73.7,53.7,100.0,62.3,71.3,79.1,35.0,38.8,36.0,33.5,,100.0,80.8,100.0,83.1,67.1,69.6,45.1,
01/31/2050,73.3,100.0,100.0,100.0,83.0,100.0,73.7,53.9,100.0,62.3,72.4,79.0,35.0,38.8,36.0,33.6,,100.0,80.8,100.0,83.0,67.1,69.6,45.1,
02/01/2050,74.1,100.0,100.0,100.0,83.0,100.0,73.6,53.8,100.0,62.2,73.1,79.0,35.0,38.8,36.0,33.7,,100.0,80.8,100.0,83.0,67.1,69.6,45.2,
02/02/2050,74.2,100.0,100.0,100.0,83.0,100.0,73.7,53.9,100.0,62.1,73.6,78.9,35.1,38.8,36.0,33.7,,100.0,80.7,100.0,83.0,67.0,69.7,45.3,
02/03/2050,74.2,100.0,100.0,100.0,82.9,100.0,73.6,53.9,100.0,62.1,74.3,78.8,35.1,38.7,36.0,33.7,,100.0,80.7,100.0,82.9,67.0,69.8,45.3,
02/04/2050,74.1,100.0,100.0,100.0,82.8,100.0,73.6,53.9,100.0,62.1,76.5,78.8,35.1,38.7,36.0,33.8,,100.0,80.6,100.0,82.8,67.0,69.7,45.3,
02/05/2050,74.0,100.0,100.0,100.0,83.1,100.0,73.5,53.9,100.0,62.3,80.0,78.8,35.1,38.7,36.0,33.9,,100.0,80.6,100.0,82.8,66.9,69.7,45.2,
02/06/2050,74.0,100.0,100.0,100.0,83.1,100.0,73.4,54.0,100.0,62.0,81.6,78.8,35.1,38.7,36.0,33.9,,100.0,80.6,100.0,82.7,66.9,69.7,45.2,
02/07/2050,74.0,100.0,100.0,100.0,83.0,100.0,73.3,54.0,100.0,61.9,82.8,78.7,35.1,38.8,36.0,34.0,,100.0,80.5,100.0,82.6,66.8,69.7,45.3,
02/08/2050,73.9,100.0,100.0,100.0,83.0,100.0,73.3,54.1,100.0,61.9,83.6,78.6,35.1,38.8,35.9,34.0,,100.0,80.5,100.0,82.5,66.8,69.7,45.5,
