dw_date,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
01/01/2050,86.0,463.0,517.0,615.0,139.0,693.0,109.0,75.0,224.0,60.3,137.0,123.0,37.3,44.9,48.7,38.4,312.0,231.0,82.3,734.0,81.2,52.1,89.3,22.2,20.9
01/02/2050,89.0,449.0,504.0,572.0,140.0,680.0,110.0,72.8,220.0,61.2,131.0,117.0,34.8,44.7,48.8,43.6,307.0,235.0,81.8,737.0,79.1,62.7,84.9,22.9,22.0
01/03/2050,89.0,438.0,493.0,558.0,145.0,718.0,113.0,73.8,217.0,60.3,129.0,115.0,36.0,46.9,47.0,51.7,322.0,233.0,81.8,939.0,79.2,81.6,80.3,22.8,25.5
01/04/2050,86.0,435.0,487.0,545.0,146.0,770.0,112.0,116.0,219.0,59.6,124.0,114.0,38.3,51.3,46.3,49.4,355.0,228.0,80.5,903.0,79.3,83.9,81.6,22.0,23.0
01/05/2050,88.0,435.0,561.0,543.0,144.0,703.0,112.0,112.0,223.0,60.6,121.0,114.0,39.8,52.6,46.3,46.5,363.0,224.0,82.6,839.0,80.2,77.1,79.2,23.7,22.4
01/06/2050,87.0,429.0,538.0,541.0,141.0,663.0,114.0,159.0,222.0,66.6,121.0,112.0,39.5,50.2,43.4,45.9,356.0,217.0,82.7,805.0,81.9,71.0,76.6,24.3,31.2
01/07/2050,84.0,427.0,496.0,525.0,137.0,639.0,118.0,128.0,239.0,66.8,120.0,113.0,37.5,49.3,42.3,45.8,355.0,212.0,83.0,794.0,81.6,64.1,75.4,24.0,30.2
01/08/2050,90.0,421.0,479.0,516.0,135.0,620.0,112.0,110.0,232.0,83.5,114.0,111.0,36.0,59.1,43.6,43.2,348.0,208.0,86.2,770.0,80.9,59.2,78.5,23.0,30.7
01/09/2050,90.0,403.0,471.0,529.0,135.0,599.0,111.0,98.3,229.0,85.9,116.0,125.0,38.1,129.0,45.4,42.4,335.0,208.0,86.6,734.0,80.6,58.8,77.8,21.5,28.3
01/10/2050,107.0,708.0,466.0,539.0,135.0,588.0,112.0,90.5,231.0,77.3,114.0,125.0,37.5,178.0,44.5,41.7,318.0,213.0,86.7,705.0,80.3,64.2,74.2,21.1,24.7
01/11/2050,100.0,1070.0,459.0,511.0,138.0,578.0,112.0,85.3,220.0,78.4,110.0,159.0,51.7,266.0,43.1,45.2,312.0,215.0,86.1,704.0,88.5,64.1,73.8,21.4,23.7
01/12/2050,96.0,799.0,448.0,543.0,138.0,568.0,108.0,82.4,215.0,74.9,111.0,138.0,70.8,217.0,42.6,42.4,306.0,217.0,81.2,737.0,91.8,61.2,76.0,21.6,25.1
01/13/2050,92.0,697.0,439.0,619.0,139.0,551.0,109.0,319.0,213.0,75.2,112.0,133.0,52.4,160.0,47.4,42.9,302.0,218.0,79.9,717.0,90.2,62.4,76.1,21.3,24.2
01/14/2050,85.0,678.0,434.0,613.0,142.0,524.0,111.0,407.0,215.0,66.5,117.0,126.0,47.0,130.0,54.0,53.1,302.0,219.0,80.9,674.0,85.0,64.1,74.9,22.2,23.0
01/15/2050,83.0,644.0,424.0,575.0,155.0,517.0,105.0,196.0,216.0,63.3,317.0,132.0,44.4,113.0,49.4,55.6,305.0,236.0,79.6,653.0,81.9,64.2,73.5,23.5,26.7
01/16/2050,82.0,615.0,419.0,552.0,179.0,505.0,105.0,226.0,215.0,62.1,700.0,134.0,42.1,97.0,46.3,53.5,302.0,1030.0,83.0,646.0,83.1,62.5,70.5,26.6,26.8
01/17/2050,84.0,653.0,418.0,529.0,400.0,501.0,106.0,162.0,212.0,63.0,525.0,133.0,42.2,88.0,42.8,51.2,289.0,843.0,81.8,638.0,99.5,61.5,71.4,25.4,22.5
01/18/2050,83.0,801.0,414.0,516.0,448.0,498.0,108.0,160.0,213.0,66.5,425.0,134.0,39.3,81.6,41.1,48.5,282.0,629.0,80.8,621.0,238.0,59.5,73.6,23.8,21.7
01/19/2050,83.0,742.0,412.0,505.0,321.0,495.0,106.0,179.0,211.0,65.6,364.0,132.0,38.5,76.7,39.0,46.3,274.0,560.0,80.5,604.0,207.0,58.5,66.9,22.3,22.1
01/20/2050,81.0,697.0,407.0,502.0,257.0,493.0,111.0,169.0,209.0,63.1,312.0,127.0,38.3,74.8,40.5,45.3,276.0,476.0,80.7,576.0,171.0,60.6,64.2,21.0,20.7
01/21/2050,79.0,671.0,403.0,497.0,224.0,486.0,104.0,163.0,212.0,63.7,287.0,119.0,37.7,71.9,40.4,45.3,276.0,434.0,81.2,556.0,143.0,60.8,62.6,20.0,19.9
01/22/2050,82.0,653.0,389.0,497.0,210.0,480.0,110.0,155.0,215.0,60.9,268.0,116.0,36.8,70.6,37.8,222.0,273.0,398.0,81.5,560.0,134.0,62.0,65.9,18.6,44.4
01/23/2050,83.0,636.0,389.0,482.0,200.0,462.0,109.0,144.0,214.0,59.5,257.0,114.0,36.7,69.1,38.5,445.0,267.0,371.0,82.5,554.0,124.0,69.5,71.0,17.9,33.4
